Model,F1 (Macro),Recall,Precision,ROC AUC
Method 3 (1D-CNN),0.640 ± 0.082,0.443 ± 0.163,0.454 ± 0.167,0.772 ± 0.090
Method 4 (XGBoost),0.749 ± 0.040,0.555 ± 0.094,0.666 ± 0.126,0.856 ± 0.035
Ensemble (CNN + XGB),0.743 ± 0.046,0.498 ± 0.099,0.744 ± 0.183,0.858 ± 0.033
